uf,municipio_formatado,i1,i2,i3,i4,i5
MG,Coronel Pacheco,155.03875968992247,66.44518272425249,0,155.03875968992247,1
GO,Santa Cruz de Goiás,132.82732447817835,66.41366223908918,0,132.82732447817835,1
PI,Nazária,119.60132890365448,59.80066445182724,0,119.60132890365448,1
MG,Água Comprida,105.07880910683012,61.29597197898424,0,105.07880910683012,1
CE,Acarape,101.68584426010167,50.84292213005084,0,101.68584426010167,1
PI,Tanque do Piauí,91.04704097116844,45.52352048558422,0,91.04704097116844,1
MG,Fruta de Leite,87.78346744696415,43.891733723482076,0,87.78346744696415,1
MT,General Carneiro,86.33093525179856,64.74820143884892,0,86.33093525179856,1
MG,Rubelita,83.77760853008377,53.313023610053314,53.313023610053314,30.464584920030465,1
GO,Palmelo,82.64462809917356,52.59203606311044,0,82.64462809917356,1
